N,M,LOWER_BOUND,LOWER_BOUND_SECONDS_TAKEN,LOWER_BOUND_REQUIRED_ITERATIONS,UPPER_BOUND,UPPER_BOUND_SECONDS_TAKEN,UPPER_BOUND_REQUIRED_ITERATIONS,BOUNDS_SIZE,TRUE_PROBABILITY_VALUE
1,1,0.1086605804275036,0.0274493694305419,7,0.1265890871026321,0.0032296180725097,6,0.0179285066751285,0.1171917911894629
2,1,0.5392634111615854,0.0910382270812988,13,0.7419654701502312,0.0327463150024414,14,0.2027020589886458,0.5436005762531598
3,1,0.103558376578837,0.7670915126800537,46,0.1237810221002596,0.6514894962310791,34,0.0202226455214226,0.1153011202211446
4,1,0.5351128708645817,6.841550827026367,77,0.7650154552404693,8.141769886016846,107,0.2299025843758876,0.537534671386244
5,1,0.0978618223182011,76.37648606300354,262,0.1197645273392433,121.03043174743652,313,0.0219027050210422,0.1098483963019052
1,2,0.1088708261390327,0.0611879825592041,16,0.1284330017500451,0.0071485042572021,11,0.0195621756110123,0.1188817894098154
2,2,0.5519973583443178,0.3694076538085937,40,0.6177122974940128,0.1208734512329101,36,0.0657149391496949,0.5559538150681963
3,2,0,0956569519218699,46,322264194488525,198,0,1174558366096758,48,16958832740784,165,0,0,0217988846878059
4,2,0.5466229765799905,340.33733105659485,575,0.62196070693048,513.0525422096252,609,0.0753377303504895,0.5535806901826457
1,3,0.1070292491510871,0.178323745727539,86,0.1268536758574683,0.0434410572052001,55,0.0198244267063811,0.1167325030034066
2,3,0.546848429700399,2.4815213680267334,142,0.6151657515364246,0.7292845249176025,119,0.06831732183602557,0.5516032221777836
3,3,0,1033319849907599,1510,0031805038452,1651,0,1233096798134711,1628,1392033100128,1591,0,0,0199776948227112
